@id,@lat,@lon,name,addr:city,addr:street,addr:housenumber,stars,phone,website,opening_hours
332044751,42.0151415,20.8800993,Славија,,,,,,,
332044798,42.0136748,20.8804512,Попова Шапка,,,,,,,
332044829,42.0132556,20.8838456,Хотел Тетекс,,,,,,,
364069071,41.6497078,20.7356405,Бистра,,,,,,,
365840363,41.9766582,21.4087904,Хотел Водно,,,,,,http://hotelimakedonija.com.mk/mk/Hotel/57/Hotel-Vodno-Skopje,
373128988,41.4440951,22.0082491,Feni,,,,,,,
386800518,41.4950992,22.1008382,Park,,,,,,,
393755345,41.1862157,22.7208999,Македонија,,,,,,,
393755377,41.1843618,22.7224363,Полин,,,,,,,
410335524,41.9761668,21.4358015,Hotel Imperial,,,,3,,,
410335525,41.9762321,21.4362154,Sun Hotel,,,,3,,,
416417189,41.9899385,21.454931,hotel porta,,,,,,http://www.hotelporta.com.mk/,
416452220,41.9899482,21.4198508,Хотел 7,,,,,,,
416452221,42.0037446,21.4244806,Канет,,,,,,,
426994642,41.4397684,22.0103655,UniPalas,,,,,,,
445504108,41.1716121,20.7061975,Hotel EUROTEL,,,,,,,
461663944,41.4396276,22.6418073,Hotel Tiveriopol,,,,,,,
461664195,41.436015,22.6431437,Хотел Илинден,,,,,,,
462151633,41.4128709,22.6517229,Хотел Сириус,,,,,,,
473903013,42.2032723,22.3350529,Turist,,,,2,,,
477199658,42.0011146,22.1759186,Црешово Топче,,,,,,,
487181669,41.6849594,21.830927,Македонија,,,,,,,
496160455,41.1781482,20.6785228,Хотел Београд,Струга,8. Ноември,Kej 8-mi noemvri,3,,,
497549478,41.700628,22.8587642,Хотел Манастир,,,,,,,
498771166,41.913516,22.7381829,Одмаралиште Голак,,,,,,,
499130715,41.6486816,20.7352972,Стопанска Банка,,,,,,,
499130722,41.6499002,20.7390308,Макпетрол,,,,,,,
526226418,41.0788322,20.80234,Hotel BELVEDERE,,,,,,,
774791899,41.0896892,21.0134146,Китка,,,,,,,
959317641,41.5924377,20.6481197,Хотел НЕДА - Галичник,,,,,,,
1378197244,41.980192,21.440152,Hotel Orange Inn,,,,,38922772254,https://www.booking.com/hotel/mk/orange-inn.en-gb.html?sid=1ddd35f0ef4f22510d37f152a78ce4a3,
1381642413,41.9801123,21.4249793,Хотел Турена,,,,,,,
1381642430,41.9843835,21.4262323,Александар,,Востаничка,24,,,,
1452855153,41.5898039,20.6246531,Хотел Туто,,,,,042 / 470 999,www.tutto.com.mk,
1499057720,41.9948912,21.4329531,Hotel City Central International,,,,,,,
1501849857,41.1120923,20.8059275,De Lux Apartments Ohrid,,,,,,,
1577485214,42.0055458,21.3755273,Мрамор,,,,,,,
1791598057,41.1725653,22.7420313,Казино Хит,,,,,,,
1804963726,40.9140062,20.7410763,Хотелски комплекс „Свети Наум“,,,,,,,
1812296549,40.9299992,21.0846302,Hotel MVR,,,,,,,
1831180525,41.9503368,21.2991809,Кањон Матка,,,,,,,
1874196865,42.0367674,22.3530578,Осоговски Бисер,,,,,,,
1999950873,41.4092678,22.2438643,Lovec,,,,,,,
2123629166,41.7961877,20.9106476,hotel,,,,,,,
2250324509,42.0775831,21.6997303,Хотел Милано,,,,,,,
2284578750,41.6493265,20.7372366,Кампари,,,,,,,
2293315268,41.9941717,21.4068121,Hotel Kapistec,,,,,,,
2316032879,41.0769862,20.8030131,Хотел на МВР,,,,,,,
2316032888,41.0764625,20.8034074,Хотел Пела,,,,,,,
2323236971,41.1414679,22.5042089,Ашикот,,,,,,,
2323236975,41.1405889,22.5048372,Holiday Han,Гевгелија,Маршал Тито,110,,+389 34 611 593,http://holidayhan.com/,
2377917960,41.5323961,20.5772167,Хотел Косоврасти,,,,,,,
2377969279,41.1056053,20.8082706,HOTEL GARDEN,,,,,,,
2382428597,41.9230708,20.9445463,Нептун Петрол,,,,,,,
2407057399,41.4368416,22.6379904,Хотел Централ,,,,,,,
2411245239,41.1719876,22.4904618,Хотел Јасен,,,,,38934231174,,24-Jul
2411308943,41.1581681,22.4943084,Хотел Нар,,,,,,,
2501564485,41.169856,20.710435,Vila ENHALON,Struga,Ezerski Lozja,86,,70243534,http://www.tcmc.org.mk/Enhalon.html,
2545330643,40.9856694,20.9208605,Lake View,,Otesevo  Resen,,,47551195,https://www.lakeviewotesevo.com/,
2835970547,42.135611,21.7224017,Apartman,Куманово,Иво Лола Рибар,,,078-277-048,https://www.pazar3.mk/mk/Listing/AdDetail/Index/1148323-LUKSUZNO-OPREMENI-STANOVI-APARTMANI,
2978030295,41.1703339,20.7095372,Villa Rosa,Struga,Ezerski Lozja,,,+389 70 92 08 08,,
2984088703,41.0678423,20.8016787,Prestol,,,,3,+389 46277858,http://www.hotelprestol.com,07:00-21:00
2992064333,41.0666434,20.8009009,Granit,,,,4,+389 46207100,http://www.hotelgranit.com.mk,
3076999334,41.0276578,21.3372648,Tokin House,,,,,,www.tokin-house.com,
3103123140,42.1534515,21.7301573,Сателит,,,,,,,
